,도로명전체주소,사업장명
1305550,"경기도 광명시 새빛공원로 67, 자이타워 C동 117-10호 (일직동)",파스타입니다광명역점
1305551,"경기도 광명시 범안로 1050, 성보빌딩 2층 209호,210호 (하안동)",원우동돈까스
1306894,"경기도 광명시 하안로 204, 104호 (소하동, 동양1차아파트)",인생아구찜
1307261,"경기도 광명시 오리로1025번길 4, 1층 일부호 (광명동)",비비큐광명사거리역점
1307262,"경기도 광명시 광덕산로 5, 종합상가동 B131호 (철산동)",홍콩할매불닭발광명철산점
1307727,"경기도 광명시 새터로 57, 1층 (광명동)",황금밥상
1307890,"경기도 광명시 소하일로52번길 11-1, 101호 (소하동)",666버거광명점
1308473,"경기도 광명시 소하로92번길 11, 소하람 2 115호 (소하동)",수플레이스
1308587,"경기도 광명시 오리로396번길 1, 1층 일부호 (소하동)",피자나라치킨공주소하점
1308982,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이141호 (일직동)",텐퍼센트커피
1309010,"경기도 광명시 영당안로 56, 1층 (소하동)",코지카페
1309011,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 제에이1동 지1층 119호 (일직동)",수정솥뚜껑생삼겹
1309531,"경기도 광명시 신촌로 49, 상가동 106호 (소하동, 신촌휴먼시아1단지아파트)",영구스피자
1310195,"경기도 광명시 소하로92번길 12, 주영팰리스 106호 (소하동)",팬더마라소하점
1310742,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이138호 (일직동)",육회공
1310957,"경기도 광명시 광덕산로 5, 종합상가동 B139호 (철산동)",배떡광명점
1311056,"경기도 광명시 광명역로 26, 상가동 101호 (일직동, 광명역파크자이)",광명포차스넥
1311222,"경기도 광명시 하안로 293-6, 두원빌딩 1층 일부호 (하안동)",무모한초밥광명하안점
1313246,"경기도 광명시 새빛공원로 67, 자이타워 C동 117-9호 (일직동)",헬로우낙곱새
1313619,"경기도 광명시 일직로12번길 19, 동일센타시아 106호~107호 (일직동)",강민철왕먹태광명역점
1313620,"경기도 광명시 도덕로 63, 에덴빌딩 105호 (광명동)",해찜
1313640,"경기도 광명시 일직로 72, C동 112호 (일직동)",백채김치찌개광명역점
1313641,"경기도 광명시 양달로 7, 상가동 B315호 (일직동, 광명역푸르지오)",명가통닭
1313642,"경기도 광명시 기아로62번길 20-10, 1층 일부호 (소하동)",토토컴퍼니
1313643,"경기도 광명시 새터로 45-1, 1층 (광명동)",광명도담돈가스
1313694,"경기도 광명시 소하로 38, 상가동 103호 (소하동, 휴먼시아2단지아파트)",오늘
1313718,"경기도 광명시 디지털로33번길 23, 2층 201호,202호일부호 (철산동)",유가네닭갈비철산점
1314699,"경기도 광명시 소하로92번길 11, 소하람 2 107,108호 (소하동)",카페드블랑
1314700,"경기도 광명시 광명로831번길 20, 우성빌딩 1층 104호 일부호 (광명동)",와라정육마켓
1315201,"경기도 광명시 오리로 936, 2층 201호일부호 (광명동)",쿡앤탄탄대로
1315548,"경기도 광명시 오리로931번길 4, 1층 (광명동)",고바우
