식당명,분류명,별점,리뷰 수,긍정 리뷰 수,부정 리뷰 수,블로그 리뷰 수,웹페이지 주소,이미지 주소,도로명 주소,지번 주소,전화번호,x,y,메뉴,리뷰,리뷰 감정,분류명 토큰화,메뉴 토큰화,리뷰 토큰화
위스키디에이,음식점 > 술집 > 칵테일바,4.9,22,19,0,0,http://place.map.kakao.com/1876715259,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F900FADB8DCB646BE9250A4420C7DFD01,서울 강남구 테헤란로87길 17,서울 강남구 삼성동 158-10,02-2052-3113,127.058372406092,37.5088053079485,"['카프리', '호가든', '하이네켄', '스텔라', '기네스']","['Thanks to the comfortable and beautiful atmosphere and staff, I had a fruitful day', '음,, 뭐랄까 말이 필요 없다고 해도 과언이 아닐정도로 여자 직원들의 친절함과 고급스러운 분위기가 좋았고 첫눈에 반해 가슴팍에 밀려 오는 점장님의 치명적인 웃음이 내 마음속을 강타하는데 이럴 때마다 와이프한테 전화오니 좋은 곳은 이런 곳인가 싶다고 생각 되는 곳', '지인 추천으로 방문한 결과 아주 바람직한 외모를 가진 여직원들과 술 덤탱이 씌우지 않는 점에서 만족하였고 편안한 분위기에서 위스키를 즐길 수 있어서 좋았습니다. 외모가 너무 예뻐서 놀랄 노자였고 아주 즐거웠습니다. 평점만큼이나 아주 보람찬 하루 되었습니다 감사합니다.', '매장이 상당히 고급스러워서 가격도 저렴하길래 들어가 봤다. 분위기가 뭐랄까 편안하면서 세련된 분위기였고 여자 직원들 외모가 수준급 이상이어서 놀랐고 다른 곳과 달리 매출을 높이기 위해서 무언가 영업멘트 날리는게 아니라 진정성 있게 대해주어서 상당히 감회가 새로웠던 매장이었습니다.', '직원들 너무 이쁨 이렇게 건전한 바가 삼성동에 있었네요 내일 또 갈겁니다', '진짜 재밌게 잘 놀다갑니다 직원들 너무 이뻐서 기분이 넘 좋아지네요', '넓게넓게 앉아서 먹기가 너무 편했고 매장도 이쁘고 직원도 이뻐서 놀랬어요 점장님 보러 또 방문예정임', '너무 정신없어 보였지만 그 와중에도 신경 잘 써주셔서 감동받고 갑니다..또 올게요! ', 'The price of whiskey was quite good. Also, female bartenders were very beautiful, sophisticated and moved. I could feel the ecstatic atmosphere and had fun.', '흠 잡을 곳이 없고 직원들 외모가 아주 훌륭히 예쁘고 친절까지 더해서 아무 만족스러운 술자리를 이끌어줘서 고마웠습니다.', '친구가 가자가자 해서 갔는데  분위기 예쁘고 여직원도 예쁘고 가길 잘함 굿 아주 만족함', 'The atmosphere is very luxurious and the Korean female employees are very beautiful and fun. It was also very satisfying because it was cheap.', '여태껏 다니던  바중 탑이네요 직원들 이쁘고 분위기 진짜 너무 좋아요 당골예정입니다', '아무 생각없이 갔는데 가격 적당하고 분위기 좋을뿐 아니라 직원들 상당히 수준 높고 예뻐서 놀람', '1층에 위스키바 가본곳중에 제일 크네여 규모두 큰데... 여기 점장님이 이뻐여ㅋㅋ 인테리어도 완전 고급짐!', '술가격 저렴하고 가게 너무 이쁘고 직원들 너무 이쁘네요 최고예요!', '위스키 바 매장이 엄청커서 놀랐네요 직원들도 이쁘고 친절하고 너무 좋았어요!', '즐겁게 잘 놀다왔어요 직원들 너무 이쁘네요 후덜덜합니다 ㅎ', '너무 좋아요  추천합니다']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",술집 칵테일바,기네스 호가든 카프리 하이네켄 스텔라,음 뭐라다 말 필요 없다 해도 과언 아니다 정도 여자 직원 친절하다 고급스럽다 분위기 좋다 눈 반하다 가슴 팍 밀리다 오다 점장님 치명 웃음 내 마음속 강타 하다 이렇다 때 와이프 전화 오니 좋다 곳 이렇다 곳 싶다 생각 되다 곳 지인 추천 방문 결과 아주 바람직하다 외모 가지다 여직원 술 덤탱이 씌우다 않다 점 만족하다 편안하다 분위기 위스키 즐기다 수 있다 좋다 외모 너무 예쁘다 놀라다 노자 이다 아주 즐겁다 평점 아주 보람 찬 하루 되어다 감사하다 매장 상당하다 고급스럽다 가격 저렴하다 들어가다 보다 분위기 뭐라다 편안하다 세련되다 분위기 이다 여자 직원 외모 수준 이상 놀라다 다른 곳 달리 매출 높이다 위해 무언가 영업 멘트 날리다 아니다 진정 있다 해주 상당하다 감회 새롭다 매장 이다 직원 너무 이쁘다 이렇게 건전하다 바 삼성동 있다 내일 또 갈다 겁니다 진짜 재밌다 자다 놀다 가다 직원 너무 이쁘다 기분 넘다 좋아지다 넓다 넓다 앉다 먹기 너무 편하다 매장 이쁘다 직원 이쁘다 놀래다 점장님 보다 또 방문 예정 임 너무 정신 없다 보이다 그 와중 신경 자다 써주다 감동 받다 가다 또 오다 흠 잡 곳 없다 직원 외모 아주 훌륭하다 예쁘다 친절 더하다 아무 만족스럽다 술자리 이끌다 고맙다 친구 가다 하다 가다 분위기 예쁘다 여직원 예쁘다 가다 하다 굿 아주 만족하다 여태껏 다니다 바중 타다 직원 이쁘다 분위기 진짜 너무 좋다 골 예정 이다 아무 생각 없이 가다 가격 적당하다 분위기 좋다 뿐 아니다 직원 상당하다 수준 높다 예쁘다 놀람 층 위스키 바 가보다 곳 제일 크다 여 규모 크다 여기 점장님 이쁘다 인테리어 완전 고급 짐 술 가격 저렴하다 가게 너무 이쁘다 직원 너무 이쁘다 최고 위스키 바 매장 엄청 커서 놀라다 직원 이쁘다 친절하다 너무 좋다 즐겁다 자다 놀다 오다 직원 너무 이쁘다 후 덜덜 하다 너무 좋다 추천 하다
하랑,"음식점 > 일식 > 돈까스,우동",5.0,12,8,0,21,http://place.map.kakao.com/1008182687,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFC850875B6854C039D61361531842180,서울 강남구 선릉로112길 38,서울 강남구 삼성동 38-16,,127.04671340017,37.511857691153,[],"['맛있어요. 근처에 대적할 돈까스 집이 없을만큼요 ^^', '강남에서? 이가격에? 이퀄로? 주변 가면 무조건 여기 가는걸로 합시다. 아 제 자리는 비워주세요', '맛있어요!! 튀김 정도가 아주 딱이네요~ 부드럽습니다', '정말 맛있어요 튀김기름도 좋은거써서 덜 느끼하고 맛있어요 고기도 두툼해서 한끼식사로 최고입니당 카레추가하는걸 추천드립니다 ^^', '말해뭐해 완전 맛집임...', '진짜아 맛있어요,, ㅠㅠ 또 먹고싶어요 최고ㅠㅠ', 'ㅠㅠ 맛있다. 인정', '양도 꽤 많고 괜찮은데, 이 동네 몇개월 넘게 지나다니면서 이 가게가 있었는줄 전혀 몰랐음. 너무 눈에 안 띄어서..', '최고 ♥ ']","['positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",일식 돈까스 우동,,맛있다 근처 대적 하다 돈까스 집 없다 만큼 강남 가격 퀄 주변 가면 무조건 여기 가다 하다 제 자리다 비우다 맛있다 튀김 정도 아주 딱이다 부드럽다 정말 맛있다 튀김 기름 좋다 거 써다 덜 느끼하다 맛있다 고기 두툼해 끼 식사 최고 이다 카레 추다 추천 드리다 말 하다 뭐해 완전 맛집 임 진짜 맛있다 또 먹다 최고 맛있다 인정 양도 꽤 많다 괜찮다 이 동네 몇개 월 넘다 지나다 이 가게 있다 전혀 모르다 너무 눈 안 띄다 최고
담미온 삼성중앙역점,음식점 > 한식 > 국밥,5.0,10,4,0,5,http://place.map.kakao.com/437771609,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5111AF2DC4574BE7AAD8844C3122890B,서울 강남구 삼성로100길 8,서울 강남구 삼성동 156-13,02-557-6848,127.056054303013,37.5094821841909,"['수육정식', '순대정식', '수육국밥', '순대국밥', '뼈해장국']","['13트째 방문중', '족발 정말 맛있어요! 연하고 향이 좋네요 사장님도 센스있고 친절하셔요 또 찾아뵙겠습니다~~^오^', '족밥맛집에서 일하시는분들 친절하시고 서비스 국밥도 너무 맛있게 잘먹었어요', '맛있는 한끼 하고갑니다 친절해요', '먹을수록 중독되는 맛... 맛있어요~~']","['neutral', 'positive', 'positive', 'positive', 'positive']",한식 국밥,수육정식 뼈해장국 정식 순대 순대국밥 수육국밥 수육 국밥 순대정식 해장국,트째 방문 족발 정말 맛있다 연하다 향 좋다 사장 센스 있다 친절하다 또 찾다 뵙다 오 족밥 맛집 일 하다 분 친절하다 서비스 국밥 너무 맛있다 먹다 맛있다 끼 하다 가다 친절하다 먹다 중독 되다 맛 맛있다
바이트샌드위치&샐러드,음식점 > 패스트푸드 > 샌드위치,5.0,8,4,0,24,http://place.map.kakao.com/1989569921,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F12F6589ABEF346FFBE3696E315A4E0C5,서울 강남구 봉은사로 474,서울 강남구 삼성동 117,02-515-1379,127.05159204211115,37.512316074161106,"['에그베이컨 샌드위치', '햄치즈 샌드위치', '멕시칸샐러드', '쉬림프샐러드', '바질파스타샐러드', '생연어아보카도샐러드', '카프레제샐러드', '리코타치즈샐러드', '수비드닭가슴살샐러드', '치킨바질페스토 샌드위치', '화이트런치롤(하프)', '아메리카노', '라떼', '바닐라라떼', '카라멜라떼', '카페모카', '미숫가루', '핫초코', '말차라떼', '밀크티', '레몬생강차', '꿀자몽블랙', '하비스커스레몬', '메리골드', '아카시아', '청포도에이드', '석류레몬에이드', '자몽에이드', '깔라만시에이드', '매실에이드', '애플망고에이드', '케일스무디', '딸기바나나스무디', '트리플베리스무디', '아보카도스무디', '코코넛망고스무디']","['개존맛탱 믿먹바이트 재택할 때마다 연어베이글 사먹음 가끔 샐러드 땡기면 무조건 바이트  양 엄청 많고 재료 신선함', '아 여기 진짜 맛있어요! 저 이전하기 전에 고3때 매일 가던 샐러드 샌드위치 집인데ㅜㅠㅜㅠ 샌드위치도 진짜 하나하나 다 특별하게 맛있고ㅜㅠㅜ 매운 발사믹 여전히 그립숩니다 ㅠㅜ', '진짜맛있구 건강해지는거같아서 자주사먹어요ㅎㅎ 항상 친절하셔서 방문할때마다 기분좋아용 크랜베리샌드위치 진짜진짜 맛있어여! 그리고 멕시칸샐러드도 추천해용 사실 모든종류가 다 맛나서 하나씩 도장깨기하기 추천드립니당', 'Delicious sandwiches and very creative salads!  The new location is very convenient and nice']","['positive', 'positive', 'positive', 'positive']",패스트푸드 샌드위치,아카시아 딸기바나나스무디 파스타 라떼 트리플 런치롤 바질 카프레 리코 치킨 레몬에이드 케일 가슴 코코넛 수비드 애플망고 석류 자몽 생강차 바나나 햄치즈 샐러드 화이트 카페모카 블랙 메리 매실 멕시칸 이드 골드 하프 아보카도스무디 청포도 베리 아보카도 제샐러드 연어 케일스무디 스무디 쉬림프샐러드 석류레몬에이드 바닐라 카라멜 트리플베리스무디 밀크 멕시칸샐러드 망고 하비 치즈 핫초코 딸기 샌드위치 미숫가루 페스 말차 애플 베이컨 아메리카노 타치즈 레몬 스커스 림프,개존맛 탱 믿다 먹다 바이트 재택할 때 연어 베이글 사먹다 가끔 샐러드 땡기다 무조건 바이트 양 엄청 많다 재료 신선하다 여기 진짜 맛있다 저 이전 하다 전 고 때 매일 가다 샐러드 샌드위치 집 샌드위치 진짜 하나 하나 다 특별하다 맛있다 맵다 발사믹 여전하다 그리다 숩 다 진짜 맛있다 건강하다 같다 자주 사먹다 항상 친절하다 방문 하다 때 기분 좋다 크랜베리 샌드위치 진짜진짜 맛있다 멕시칸 샐러드 추천 하다 사실 종류 다 맛 나서다 하나 도장 깨다 추천 드리다
테이블스푼 청담점,음식점 > 도시락,5.0,7,4,0,101,http://place.map.kakao.com/1213397685,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC4C96FE77DB24E328DE9A9FBB92488ED,서울 강남구 선릉로 660,서울 강남구 삼성동 8-2,02-518-3585,127.042335957153,37.5155390414084,"['한입도시락', '밥 도시락', '특별주문 도시락', '디저트 도시락', '소풍 도시락']","['맛있고 직원분들이 친절하십니다', '도시락 다양하게 있고 정말 맛있어요! 회사에서 먹기 편합니다 ㅎㅎ', '맛집인정 ! 다음에 또올게요ㅋㅋㅋ', '완전 최고에여!!']","['positive', 'positive', 'positive', 'positive']",도시락,한입 도시락 한입도시락 디저트 소풍 주문 특별주문 특별 밥,맛있다 직원 친절하다 도시락 다양하다 있다 정말 맛있다 회사 먹기 편하다 맛집 인정 다음 또 오다 완전 최고
고씨떡볶이 삼성점,음식점 > 분식 > 떡볶이,4.8,10,3,0,22,http://place.map.kakao.com/1700890979,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF5A921DD152E4D28BDE54D258E3331AB,서울 강남구 봉은사로84길 34,서울 강남구 삼성동 149-31,070-4046-5471,127.05617319771655,37.51117241202762,"['야채 떡볶이 (2-3인)', '차돌박이 떡볶이 (2-3인)', '안심순살치킨 떡볶이 (2-3인)', '왕새우튀김 떡볶이 (2-3인)', '찰순대 떡볶이 (2-3인)']","['맛나요 굿', '나쁘지않앗음', '콩나물 들어간 떡볶이 엄청 좋아하는데 사장님 배우신 분… 리뷰들처럼 매장도 진짜 깨끗하고 야채가 많이 들어가서 달짝지근하면서도 매콤하니 너무 맛있었어요. 또 갈겁니다!']","['positive', 'positive', 'positive']",분식 떡볶이,왕새우 안심 순대 치킨 튀김 23 순살 떡볶이 23인 차돌박이 야채 안심순살치킨,맛 요 굿 나쁘다 않다 콩나물 들어가다 떡볶이 엄청 좋아하다 사장 배우다 분 리뷰 매장 진짜 깨끗하다 야채 많이 들어가다 달짝지근하다 매콤 하다 너무 맛있다 또 갈다 겁니다
소문난집,음식점 > 술집 > 실내포장마차,4.8,10,3,0,33,http://place.map.kakao.com/9152038,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA2B8F4330A1843F798CD751C8C396E84,서울 강남구 선릉로 664,서울 강남구 삼성동 8-1,,127.042345193542,37.5158706074444,"['닭도리탕', '낙지볶음', '동태탕', '해물알탕', '모시조개탕']","['맵찔이에겐 좀 맵지만 맛있당', '닭이 정말 부드러워서 솜사탕인 줄. ', '채고', '꺄', '술이 술을 부른다']","['positive', 'positive', 'positive', 'neutral', 'neutral']",술집 실내포장마차,닭도리탕 낙지볶음 모시조개 볶음 모시조개탕 알탕 해물알탕 동태 동태탕 낙지 해물,맵 찌다 좀 맵 맛있다 닭 정말 부드럽다 솜사탕 줄 채다 꺄 술 술 부르다
수미돈,"음식점 > 한식 > 육류,고기",4.9,7,4,0,5,http://place.map.kakao.com/1910209131,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F022CC7B8076D4C76A3BB5BE6FD8A3698,서울 강남구 삼성로103길 12,서울 강남구 삼성동 121,,127.053403792672,37.5103880207604,"['수미돈한판', '수미삼겹살(180g)', '수미목살(180g)', '수미돈갈비찜(점심)', '수미돈뚝불', '수미돈곰탕', '수미돈사골', '사골 김치찌개', '사골 된장찌개', '냉면(후식)', '비빔냉면(후식)']","['고기 정말 맛있습니다. 따로 영양제 먹여서 키운다하셔서, 농담반진담반으로 듣고 먹었는데 삼겹살이 다르게 맛있네요.. 자주 갈게요!', '고기 너무 맛있네요>< 냄새도 안나고 고기가 너무 좋아요 영양제 먹은 돼지라 질이 다르네용', '고기가 너무 맛있어요~!!! 또 먹고싶어요~~!!', '삼성동쪽 고깃집으로 추천합니다. 삼겹살이 맛있습니다 파김치랑 꼭 싸드세용']","['positive', 'positive', 'positive', 'positive']",한식 육류 고기,사골 180g 후식 냉면 삼겹살 수미돈 목살 비빔냉면 수미돈갈비찜점심 수미 한판 뚝불 수미삼겹살180g 점심 된장찌개 수미목살180g 갈비찜 곰탕 김치찌개 수미돈한판,고기 정말 맛있다 따로 양제 먹이다 키우다 농담 진담 반 듣다 먹다 삼겹살 다르다 맛있다 자주 갈다 고기 너무 맛있다 냄새 안나 고기 너무 좋다 양제 먹다 돼지 질 다르다 용 고기 너무 맛있다 또 먹다 삼성 동쪽 고깃집 추천 하다 삼겹살 맛있다 파김치 꼭 들다
전우소고기해장국,음식점 > 한식 > 해장국,4.7,10,4,0,4,http://place.map.kakao.com/1256363200,,서울 강남구 테헤란로81길 46-3,서울 강남구 삼성동 152-45,02-552-6225,127.056269531779,37.5099235740783,"['소고기해장국', '소머리수육', '녹두빈대떡', '굴젓', '포장해장국']","['지금까지 먹었던 고기해장국중에서는 가장 맛있었다 최고', '해장국 맛있네요! 냄새도 안나고.. 깔끔하고 얼큰한 한그릇 뚝딱했어요. 그리고 직접 담그신다던 김치도 참 맛있습니다. 곰탕이랑 콩국수 맛도 궁금해져서 조만간 가봐야겠어요.', '음식도 깔끔하고 ᆢ맛있어요.  특히? 김치ᆢ깍두기 ᆢ  직접 만든다고 자긍심이 돼단하셔요♡', '정갈하고 맛있고 진심으로 하는 ㄹㅇ 맛집인데 마케팅이 없어서 잘모르는듯 인생 소고기국밥집']","['positive', 'positive', 'positive', 'positive']",한식 해장국,소머리수육 포장해장국 굴젓 해장국 빈대떡 포장 소고기해장국 수육 소고기 소머리 녹두빈대떡 녹두,지금 먹다 해장국 가장 맛있다 최고 해장국 맛있다 냄새 안나 깔끔하다 얼큰하다 그릇 뚝딱 하다 직접 담그다 신다 김치 차다 맛있다 곰탕 콩국수 맛 궁금하다 조만간 가보다 음식 깔끔하다 맛있다 특히 김치 깍두기 직접 만들다 자긍심 돼다 하다 정갈하다 맛있다 진심 하다 맛집 마케팅 없다 모르다 인생 소고기 국밥집
애니홀,음식점 > 양식 > 이탈리안,4.6,13,8,0,11,http://place.map.kakao.com/27228456,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6821FD87997543E5A3D708753E84CBAE,서울 강남구 테헤란로77길 11-10,서울 강남구 삼성동 143-12,02-563-3433,127.0536208424808,37.5070686211597,"['직화 불고기 덮밥', '수제 돈가스', '까르보나라 파스타', '직화 쭈꾸미 덮밥', '버섯 크림 리조또', '마르게리따 피자', '고르곤졸라 피자', '스파이시 페퍼로니 피자', '베이컨 포테이토 스푼피자', '리코타 치즈 샐러드', '케이준 치킨 샐러드', '치즈나쵸', '먹태구이', '치킨 가라아게', '포모도로파스타', '알리오올리오 파스타', '날치알&새우 파스타', '떡갈비 로제 파스타', '치킨 아라비아따 파스타', '해물 짬뽕 파스타', '게살 커리 리조또', '해물 토마토 리조또', '그린 샐러드', '유자 샐러드 피자', '크리스피 치킨', '간장갈릭 치킨', '데리야끼 치킨볶음', '직화쭈꾸미&소면', '골뱅이&소면', '직화불닭발&주먹밥', '치킨 퀘사디아', '감바스 알 아히요', '토마토 카프레제', '까르보 떡볶이', '모듬 소세지', '후라이드 포테이토', '나가사키 짬뽕', '해물 짬뽕탕', '번데기탕', '모듬포', '쥐포땅콩', '노가리', '클라우드 생맥주', '테라 생맥주', '참이슬', '처음처럼', '이즈백']","['가격 적당하고, 맛있고 친절해요.', '회사근처라 가끔 가서 점심으로 쭈꾸미덮밥 먹고 저녁때는 직원들과 피맥/치맥 먹는데 맛있어요.    파스타도 맛있고 치킨도 맛있고 조용하고 담소나누기 아주 좋은곳입니다.', '친절하고 맛있음 좋다', '리코타 치즈샐러드 짱!! 날치알&새우 파스타 직화 쭈꾸미 덮밥 진짜 맛있었음. 분위기 좋고 직원분들도 친절 하셔서 한번도 안가본 사람은 있어도 한번만 간 사람은 없을듯. 지인들에게 마구마구 소개 하고싶은 맛집 애니홀~^^', '리코타치즈샐러드.', '해물파스타 해물리조또 맛집~!', '맛있네요. 가성비 좋고 분위기도 좋고 안주도 많아서 저녁에 생맥 먹으러  함 와야겠네요.', '선정릉 한바퀴 돌고 찾아 간 맛집에서 인생 파스타 먹었어요. 실내 분위기 좋고 특히 화장실이 넘넘 깨끗해서 인상적이었어요. 맛도 위생도 엄지척   완전강추   ', '대부분 메뉴가 다 맛있어서 갈때마다 뭘 먹어야할지 고민해요..ㅋ ']","['positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'positive']",양식 이탈리안,데리야끼 참이슬 카프레 마르게리 닭발 토마토 생맥주 샐러드 나쵸 까르보 크림 크리스 카프레제 포모도로파스타 리조또 골뱅이 노가리 직화 볶음 베이컨 해물 모듬 로제 커리 치킨 버섯 쥐포 태구이 가라아게 아히 쭈꾸미 번데기 짬뽕 밥 소면 감바스 스푼 게리 게살 후라이드 포테이토 나가사키 갈릭 주먹밥 유자 까르보나라 알리오 이즈백 직화불닭발 고르곤졸라 모듬포 수제 코타 소세지 처음처럼 치즈 간장 그린 날치 케이준 떡볶이 알 불고기 파스타 알리오올리오 테라 바스 클라우드 스파이시 아라비아 땅콩 새우 퀘사디아 날치알 떡갈비 모도로 마르 피자 페퍼로니 올리오 스파이 돈가스,가격 적당하다 맛있다 친절하다 회사 근처 가끔 가다 점심 쭈꾸미 덮다 밥 먹다 저녁때 직원 피맥 치맥 먹다 맛있다 파스타 맛있다 치킨 맛있다 조용하다 담소 나누기 아주 좋다 곳 이다 친절하다 맛있다 좋다 리 코타 치즈 샐러드 짱 날치 알 새우 파스타 직화 쭈꾸미 덮다 밥 진짜 맛있다 분위기 좋다 직원 친절 하다 한번 가보다 사람 있다 한번 간 사람 없다 지인 마구마구 소개 하다 맛집 애니 홀 리코 치즈 샐러드 해물 파스타 해물 리조또 맛집 맛있다 가성 비 좋다 분위기 좋다 안주 많다 저녁 생맥 먹다 함 오다 선정릉 바퀴 돌다 찾다 간 맛집 인생 파스타 먹다 실내 분위기 좋다 특히 화장실 넘다 넘다 깨끗하다 인상 이다 맛 위생 엄지 척 완전 강추 대부분 메뉴 다 맛있다 갈다 때 뭘 먹다 야하다 고민 하다
